mois;total_remboursement
31/01/2018;649497.700000000000
28/02/2018;611153.710000000000
31/03/2018;662224.450000000000
30/04/2018;594021.410000000000
31/05/2018;563939.520000000000
30/06/2018;640396.650000000000
31/07/2018;597837.130000000000
31/08/2018;397717.720000000000
30/09/2018;558500.240000000000
31/10/2018;655156.560000000000
30/11/2018;556133.280000000000
31/12/2018;587083.830000000000
31/01/2019;501303.930000000000
28/02/2019;456492.330000000000
31/03/2019;539039.000000000000
30/04/2019;492460.450000000000
31/05/2019;558883.430000000000
30/06/2019;438434.730000000000
31/07/2019;478816.480000000000
31/08/2019;376135.540000000000
30/09/2019;469136.250000000000
31/10/2019;586027.510000000000
30/11/2019;509365.290000000000
31/12/2019;517005.110000000000
31/01/2020;443191.790000000000
29/02/2020;414371.930000000000
31/03/2020;288279.310000000000
30/04/2020;174446.310000000000
31/05/2020;321982.370000000000
30/06/2020;453024.390000000000
31/07/2020;464851.730000000000
31/08/2020;285283.020000000000
30/09/2020;421143.800000000000
31/10/2020;418656.210000000000
30/11/2020;464741.710000000000
31/12/2020;430117.410000000000
31/01/2021;436974.010000000000
28/02/2021;429662.940000000000
31/03/2021;527250.710000000000
30/04/2021;461940.180000000000
31/05/2021;431749.150000000000
30/06/2021;502730.500000000000
31/07/2021;440688.210000000000
31/08/2021;328739.060000000000
30/09/2021;465373.280000000000
31/10/2021;495396.510000000000
30/11/2021;484454.180000000000
31/12/2021;469889.600000000000
31/01/2022;410416.400000000000
28/02/2022;386392.500000000000
31/03/2022;443292.030000000000
30/04/2022;401847.080000000000
31/05/2022;436087.610000000000
30/06/2022;434242.890000000000
31/07/2022;365108.980000000000
31/08/2022;319837.430000000000
30/09/2022;475735.610000000000
31/10/2022;445313.850000000000
30/11/2022;414739.790000000000
31/12/2022;446180.380000000000
31/01/2023;385556.170000000000
28/02/2023;352139.290000000000
31/03/2023;400449.330000000000
30/04/2023;311873.730000000000
31/05/2023;339741.810000000000
30/06/2023;400474.790000000000
31/07/2023;314196.620000000000
31/08/2023;240137.380000000000
30/09/2023;343431.640000000000
31/10/2023;358918.460000000000
30/11/2023;399662.160000000000
31/12/2023;343039.110000000000
31/01/2024;306005.860000000000
29/02/2024;244990.440000000000
31/03/2024;176810.230000000000
30/04/2024;186686.970000000000
31/05/2024;174690.400000000000
30/06/2024;185743.540000000000
31/07/2024;203908.630000000000
31/08/2024;108085.960000000000
30/09/2024;176958.890000000000
31/10/2024;200164.730000000000
30/11/2024;181187.120000000000
31/12/2024;174171.680000000000
